,,,,,,,
Build,Compression,File,Size,Ratio,Size Diff (KB),,
,,,,,,,
Debug,None,Rust DXE Core,1619456,439.92%,1222.0,,
Debug,None,DxeCore / CpuDxe / RuntimeDxe,368128,,,,
Debug,TianoCompress.exe,Rust DXE Core,603400,322.54%,406.6,,
Debug,TianoCompress.exe,DxeCore / CpuDxe / RuntimeDxe,187076,,,,
Debug,LzmaCompress.exe,Rust DXE Core,496764,301.73%,324.3,,
Debug,LzmaCompress.exe,DxeCore / CpuDxe / RuntimeDxe,164637,,,,
Debug,BrotliCompress.exe,Rust DXE Core,487425,292.62%,313.3,,
Debug,BrotliCompress.exe,DxeCore / CpuDxe / RuntimeDxe,166570,,,,
,,,,,,,
Release,None,Rust DXE Core,784384,185.25%,352.5,,
Release,None,DxeCore / CpuDxe / RuntimeDxe,423424,,,,
Release,TianoCompress.exe,Rust DXE Core,365086,272.76%,225.8,,
Release,TianoCompress.exe,DxeCore / CpuDxe / RuntimeDxe,133847,,,,
Release,LzmaCompress.exe,Rust DXE Core,314775,264.95%,191.4,,
Release,LzmaCompress.exe,DxeCore / CpuDxe / RuntimeDxe,118807,,,,
Release,BrotliCompress.exe,Rust DXE Core,301069,249.39%,176.1,,
Release,BrotliCompress.exe,DxeCore / CpuDxe / RuntimeDxe,120721,,,,
